event_id,design_id,coarse_dt_s,fine_dt_s,peak_downstream_m3_s_relative_change,maximum_storage_m3_relative_change,baseline_peak_m3_s_relative_change,overflow_change_m3,overflow_onset_change_s,overflow_classification_stable,drawdown_change_s,acceptance_stable,peak_storage_converged
50mm_back_loaded,h0.900_o100,7.5,3.75,0.0002880604612730316,0.0005336658443233472,0.0008259627906196513,0.0,,True,8.249561818878703,True,True
100mm_uniform,h0.150_o40,7.5,3.75,1.0793207251101832e-05,0.0,1.0793207253371188e-05,0.011868046581582803,3.75,True,16.35326549990168,True,True
100mm_uniform,h0.150_o60,7.5,3.75,1.0793207251101832e-05,0.0,1.0793207253371188e-05,0.022833624968086497,3.75,True,16.29647371298688,True,True
100mm_uniform,h0.150_o80,7.5,3.75,1.0793207251101832e-05,0.0,1.0793207253371188e-05,0.035182776046553954,3.75,True,16.22475391157394,True,True
100mm_uniform,h0.150_o100,7.5,3.75,1.0793207251101832e-05,0.0,1.0793207253371188e-05,0.04793601859825003,3.75,True,16.160177608824,True,True
100mm_uniform,h0.300_o40,7.5,3.75,1.079320725922373e-05,0.0,1.0793207253371188e-05,0.016241673918216293,3.75,True,14.769512448663136,True,True
100mm_uniform,h0.300_o60,7.5,3.75,1.079320725922373e-05,0.0,1.0793207253371188e-05,0.03136200926411448,0.0,True,14.691822925573206,True,True
100mm_uniform,h0.300_o80,7.5,3.75,1.079320725922373e-05,0.0,1.0793207253371188e-05,0.04864518491740455,3.75,True,14.617353658135812,True,True
100mm_uniform,h0.300_o100,7.5,3.75,1.079320725922373e-05,0.0,1.0793207253371188e-05,0.0666935307540939,3.75,True,14.546762835291105,True,True
100mm_uniform,h0.450_o40,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.01920585597417812,0.0,True,13.811018200404135,True,True
100mm_uniform,h0.450_o60,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.036917464629539154,0.0,True,13.726411816335826,True,True
100mm_uniform,h0.450_o80,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.05706730005073268,0.0,True,13.655165287173077,True,True
100mm_uniform,h0.450_o100,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.07787875984681136,0.0,True,13.587867007468901,True,True
100mm_uniform,h0.600_o40,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.021528250617166123,3.75,True,13.125914571817532,True,True
100mm_uniform,h0.600_o60,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.041277165296776275,3.75,True,13.049487267952742,True,True
100mm_uniform,h0.600_o80,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.06321833853206726,3.75,True,12.957915980356915,True,True
100mm_uniform,h0.600_o100,7.5,3.75,1.079320725110192e-05,0.0,1.0793207253371188e-05,0.08576814243238573,3.75,True,12.897133814790607,True,True
100mm_uniform,h0.750_o40,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.023499181120342882,0.0,True,12.60053571367763,True,True
100mm_uniform,h0.750_o60,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.04474263907749787,3.75,True,12.507183840872926,True,True
100mm_uniform,h0.750_o80,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.0682963170239077,0.0,True,12.424666065520995,True,True
100mm_uniform,h0.750_o100,7.5,3.75,1.0793207267345537e-05,0.0,1.0793207253371188e-05,0.0919266105866825,3.75,True,12.357780923689532,True,True
100mm_uniform,h0.900_o40,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.025212367075880593,3.75,True,12.167182229956097,True,True
100mm_uniform,h0.900_o60,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.04787326627800326,3.75,True,12.079643341037638,True,True
100mm_uniform,h0.900_o80,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.07264633942295973,0.0,True,11.992435926480738,True,True
100mm_uniform,h0.900_o100,7.5,3.75,1.0793207267464978e-05,0.0,1.0793207253371188e-05,0.09698006007735671,0.0,True,11.917628020841065,True,True
100mm_front_loaded,h0.150_o40,7.5,3.75,0.0005885888961952481,0.0,0.0005885888961939944,0.010810057395076456,7.5,True,15.554609920548046,True,True
100mm_front_loaded,h0.150_o60,7.5,3.75,0.0005885888961952481,0.0,0.0005885888961939944,0.020695160234993182,3.75,True,15.519624722909953,True,True
100mm_front_loaded,h0.150_o80,7.5,3.75,0.0005885888961954274,0.0,0.0005885888961939944,0.031829345129438025,0.0,True,15.4602025309174,True,True
100mm_front_loaded,h0.150_o100,7.5,3.75,0.0005885888961952481,0.0,0.0005885888961939944,0.04315048393561938,3.75,True,15.404158435447357,True,True
100mm_front_loaded,h0.300_o40,7.5,3.75,0.0005885888961982966,0.0,0.0005885888961939944,0.01476853429556968,0.0,True,13.979908458790646,True,True
100mm_front_loaded,h0.300_o60,7.5,3.75,0.0005885888961982966,0.0,0.0005885888961939944,0.028349409143345383,3.75,True,13.923087875147644,True,True
100mm_front_loaded,h0.300_o80,7.5,3.75,0.0005885888961982966,0.0,0.0005885888961939944,0.043670047038403936,0.0,True,13.858317892592709,True,True
100mm_front_loaded,h0.300_o100,7.5,3.75,0.0005885888961982966,0.0,0.0005885888961939944,0.05946206593199577,3.75,True,13.791187577289321,True,True
